game_id,game_order,event,site,date_played,round,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,white_title,black_title,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,ply_count,date_created,file_name
32462549-3a63-4609-978e-894d7f4834f1,51,Troll Masters,Gausdal NOR,2002.01.06,3,"Womacka,M","Carlsen,M",1-0,2499,,2127,,,,"Womacka,M",2499,"Carlsen,M",2127,372,B42,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
92d1c71c-9b35-419d-8a08-d63ba1bea563,52,Troll Masters,Gausdal NOR,2002.01.07,4,"Hoi,C","Carlsen,M",1-0,2407,,2127,,,,"Hoi,C",2407,"Carlsen,M",2127,280,E14,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
6af658f1-f9a6-44d7-98c0-7f47e1569935,53,Troll Masters,Gausdal NOR,2002.01.08,5,"Carlsen,M","Hole,O",1/2-1/2,2127,,2248,,,,draw,,draw,,0,E54,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
11a202d7-f557-4f75-8e23-747c9d444d5f,54,Troll Masters,Gausdal NOR,2002.01.08,6,"Carlsen,M","Rause,O",0-1,2127,,2234,,,,"Rause,O",2234,"Carlsen,M",2127,107,A11,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
3ffbad40-dfc9-4a45-9dcc-7db7f835c7c3,55,Troll Masters,Gausdal NOR,2002.01.09,7,"Hansen,TR","Carlsen,M",1/2-1/2,2282,,2127,,,,draw,,draw,,0,E65,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
91cebba9-949d-4018-b1f1-a8fba8cf75f8,56,Troll Masters,Gausdal NOR,2002.01.10,8,"Giddins,S","Carlsen,M",1/2-1/2,2285,,2127,,,,draw,,draw,,0,E00,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
4250a863-1c61-4b10-a056-6a034eb3dc8b,57,Troll Masters,Gausdal NOR,2002.01.11,9,"Carlsen,M","Bekker Jensen,Anders",1-0,2127,,,,,,"Carlsen,M",2127,"Bekker Jensen,Anders",,0,B54,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
ad5e9941-b249-4c92-a608-b630e2a8722e,58,Classics GM,Gausdal NOR,2002.04.11,1,"Carlsen,M","Tjomsland,S",1-0,2127,,2274,,,,"Carlsen,M",2127,"Tjomsland,S",2274,-147,E94,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
6f0295bc-44cc-47e4-82fb-c1362d8c7e72,59,Classics GM,Gausdal NOR,2002.04.12,2,"Kotronias,V","Carlsen,M",1-0,2568,,2127,,,,"Kotronias,V",2568,"Carlsen,M",2127,441,B66,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
b27dc3be-5a9d-47a5-930a-e4f0e13389ff,60,Classics GM,Gausdal NOR,2002.04.13,3,"Carlsen,M","Lie,K",0-1,2127,,2388,,,,"Lie,K",2388,"Carlsen,M",2127,261,B43,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
